time_ms,node_id,rssi_dbm,collided
6678,7,-14.6252619660141,False
6678,1,-66.72139026941323,False
6710,4,-29.25934819085409,False
6723,1,-66.72139026941323,False
6739,9,-63.6548145942005,False
6763,6,-51.5901142214492,False
6771,0,-51.50617211780494,False
6771,10,-65.6284263160874,False
6832,3,-17.283447100014683,False
6840,5,-31.894088462747455,False
6925,0,-51.50617211780494,False
6949,1,-66.72139026941323,False
6973,3,-17.283447100014683,False
6981,5,-31.894088462747455,False
6994,8,-49.23720914934826,False
7034,10,-65.6284263160874,False
7042,4,-29.25934819085409,False
7042,7,-14.6252619660141,False
7079,7,-14.6252619660141,False
7087,8,-49.23720914934826,False
7095,1,-66.72139026941323,False
7103,0,-51.50617211780494,False
7111,10,-65.6284263160874,False
7119,5,-31.894088462747455,False
7172,0,-51.50617211780494,False
7180,11,-52.84282551013513,False
7188,4,-29.25934819085409,False
7196,3,-17.283447100014683,True
7196,7,-14.6252619660141,True
7241,5,-31.894088462747455,False
7241,8,-49.23720914934826,False
7265,4,-29.25934819085409,False
7273,11,-52.84282551013513,False
7281,2,-57.08267569168619,False
7318,9,-63.6548145942005,False
7350,6,-51.5901142214492,False
7358,4,-29.25934819085409,False
7403,7,-14.6252619660141,False
7403,9,-63.6548145942005,False
7419,3,-17.283447100014683,False
7419,11,-52.84282551013513,False
7427,4,-29.25934819085409,False
7443,6,-51.5901142214492,False
7451,5,-31.894088462747455,False
7552,4,-29.25934819085409,False
7552,6,-51.5901142214492,False
7565,5,-31.894088462747455,False
7605,3,-17.283447100014683,False
7621,9,-63.6548145942005,False
7666,5,-31.894088462747455,False
7666,10,-65.6284263160874,False
7666,4,-29.25934819085409,False
7690,1,-66.72139026941323,False
7735,2,-57.08267569168619,False
7735,3,-17.283447100014683,False
7743,5,-31.894088462747455,False
7759,4,-29.25934819085409,False
7804,1,-66.72139026941323,False
7820,2,-57.08267569168619,False
7820,10,-65.6284263160874,False
7828,3,-17.283447100014683,False
7836,0,-51.50617211780494,False
7836,5,-31.894088462747455,False
7852,4,-29.25934819085409,False
7913,5,-31.894088462747455,False
7921,1,-66.72139026941323,False
7945,0,-51.50617211780494,False
7945,3,-17.283447100014683,False
7945,10,-65.6284263160874,False
7966,3,-17.283447100014683,False
7998,7,-14.6252619660141,False
7998,11,-52.84282551013513,False
7998,5,-31.894088462747455,False
8006,4,-29.25934819085409,False
8022,8,-49.23720914934826,False
8051,3,-17.283447100014683,False
8144,8,-49.23720914934826,False
8160,5,-31.894088462747455,False
8168,11,-52.84282551013513,False
8192,2,-57.08267569168619,False
8213,7,-14.6252619660141,False
8261,8,-49.23720914934826,False
8269,3,-17.283447100014683,False
8290,3,-17.283447100014683,True
8290,7,-14.6252619660141,True
8290,9,-63.6548145942005,True
8314,4,-29.25934819085409,False
8338,6,-51.5901142214492,False
8407,9,-63.6548145942005,False
8415,5,-31.894088462747455,False
8436,2,-57.08267569168619,False
8452,7,-14.6252619660141,False
8460,6,-51.5901142214492,False
8468,4,-29.25934819085409,False
8468,1,-66.72139026941323,False
8476,0,-51.50617211780494,False
8492,3,-17.283447100014683,False
8505,0,-51.50617211780494,False
8505,9,-63.6548145942005,False
8513,1,-66.72139026941323,True
8513,10,-65.6284263160874,True
8513,11,-52.84282551013513,False
8561,7,-14.6252619660141,False
8590,6,-51.5901142214492,False
8606,7,-14.6252619660141,False
8622,5,-31.894088462747455,False
8622,3,-17.283447100014683,False
8630,11,-52.84282551013513,False
8638,4,-29.25934819085409,False
8715,2,-57.08267569168619,False
8739,10,-65.6284263160874,False
8752,4,-29.25934819085409,False
8792,10,-65.6284263160874,False
8845,3,-17.283447100014683,True
8845,7,-14.6252619660141,True
8861,4,-29.25934819085409,False
8893,2,-57.08267569168619,False
8901,8,-49.23720914934826,False
8914,5,-31.894088462747455,False
8930,3,-17.283447100014683,False
8970,8,-49.23720914934826,False
8978,7,-14.6252619660141,False
9047,3,-17.283447100014683,False
9076,7,-14.6252619660141,False
9084,4,-29.25934819085409,False
9108,5,-31.894088462747455,False
